"filename", "language", "Ini", "Python", "JSON", "Markdown", "HTML", "toml", "JavaScript", "Docker", "pip requirements", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/dev/Documents/packtune/app/seeds/opportunities.py", "Python", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 137
"/Users/dev/Documents/packtune/app/seeds/types.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/dev/Documents/packtune/app/seeds/users.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"/Users/dev/Documents/packtune/app/utils/email_utils.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/dev/Documents/packtune/flask-README.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 42, 146
"/Users/dev/Documents/packtune/migrations/alembic.ini", "Ini", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"/Users/dev/Documents/packtune/migrations/env.py", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 106
"/Users/dev/Documents/packtune/migrations/versions/20240323_134212_.py", "Python", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 233
"/Users/dev/Documents/packtune/migrations/versions/20240528_170608_.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 39
"/Users/dev/Documents/packtune/react-vite/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"/Users/dev/Documents/packtune/react-vite/README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/dev/Documents/packtune/react-vite/dist/assets/DailyMotion-110b6476.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Facebook-a967a520.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/FilePlayer-17850fee.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Kaltura-cf751f87.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Mixcloud-f35fb0d4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Mux-ebe27513.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Preview-d61d3859.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
